event_type,sub_event_type,month,day,event_date,year,actor1,assoc_actor_1,actor2,assoc_actor_2,city,state,fatalities,source,source_scale,major_media,notes,tags
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,1,2,2024-01-02,2024,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),LGBTQ+ (UNITED STATES),ISLE LA MOTTE,VERMONT,0,VTDIGGER,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 2 JANUARY 2024, AN UNKNOWN PERPETRATOR ENTERED SANDY BOTTOM FARM, STOLE A PRIDE FLAG, SLASHED HOLES IN THREE GREENHOUSES, AND LEFT AN AMERICAN FLAG AND A LETTER USING HOMOPHOBIC LANGUAGE IN ISLE LA MOTTE (VERMONT).",
RIOTS,VIOLENT DEMONSTRATION,12,27,2023-12-27,2023,RIOTERS (UNITED STATES),,POLICE FORCES OF THE UNITED STATES (2021-2025),,LOS ANGELES - WESTSIDE,CALIFORNIA,0,SANTA MONICA DAILY PRESS,SUBNATIONAL,NO,"ON 27 DECEMBER 2023, PRO-PALESTINIAN DEMONSTRATORS RALLIED OUTSIDE LAX IN LOS ANGELES - WESTSIDE (CALIFORNIA) TO DEMAND SUPPORT FOR PALESTINE AMID THE ISRAEL-HAMAS WAR WHICH BEGAN IN OCTOBER 2023. THE POLICE ARRESTED 36 DEMONSTRATORS AFTER THEY BLOCKED A MAJOR ROADWAY TO LAX WITH 'TRAFFIC CONES, TRASH BINS, SCOOTERS AND DEBRIS'. THE POLICE CLAIMED 35 DEMONSTRATORS WERE RIOTING AND 1 HAD ASSAULTED A POLICE OFFICER.",CROWD SIZE=AT LEAST 35
RIOTS,VIOLENT DEMONSTRATION,12,23,2023-12-23,2023,RIOTERS (UNITED STATES),PALESTINIAN GROUP (UNITED STATES); PYM: PALESTINIAN YOUTH MOVEMENT,POLICE FORCES OF THE UNITED STATES (2021-2025),,SAN FRANCISCO,CALIFORNIA,0,KTVU FOX2; NBC BAY AREA,SUBNATIONAL,NO,"ON 23 DECEMBER 2023, HUNDREDS OF PRO-PALESTINIAN DEMONSTRATORS MARCHED TO UNION SQUARE IN SAN FRANCISCO (CALIFORNIA) TO DEMAND A PERMANENT CEASEFIRE IN GAZA AMID THE ISRAEL-HAMAS WAR WHICH BEGAN IN OCTOBER 2023 AND TO CALL FOR AN END TO ISRAEL'S 'GENOCIDE.' LOCAL POLICE ARRESTED 4 OR 6 DEMONSTRATORS FOR 'FELONY VANDALISM, ASSAULT AND BATTERY ON A POLICE OFFICER' WHILE THE ORGANIZERS STATED IT WAS A PEACEFUL DEMONSTRATION. VIDEO FOOTAGE FROM THE DEMONSTRATION SHOWED A POLICE CAR WITH A SMASHED WINDOW AND APPEARED TO SHOW A DEMONSTRATOR BEING ARRESTED FOR BREAKING IT. DEMONSTRATORS, ORGANIZED BY THE PYM, LATER RALLIED OUTSIDE THE SF COUNTY JAIL TO DEMAND THE RELEASE OF THE ARRESTED DEMONSTRATORS.",CROWD SIZE=HUNDREDS
RIOTS,VIOLENT DEMONSTRATION,12,16,2023-12-16,2023,RIOTERS (UNITED STATES),PYM: PALESTINIAN YOUTH MOVEMENT; PSL: PARTY FOR SOCIALISM AND LIBERATION; PALESTINIAN GROUP (UNITED STATES),CIVILIANS (UNITED STATES),,DETROIT,MICHIGAN,0,FIGHT BACK NEWS; NEWSWEEK,OTHER-NATIONAL,NO,"ON 16 DECEMBER 2023, ABOUT 20-30 PRO-PALESTINIAN DEMONSTRATORS WITH PYM AND PSL STAGED A RALLY AT THE 13TH CONGRESSIONAL DISTRICT DEMOCRATIC PARTY IN A PUB IN DETROIT (MICHIGAN) TO CONDEMN US SUPPORT FOR ISRAEL AMID THE ISRAEL-HAMAS WAR WHICH BEGAN IN OCTOBER 2023. THE DEMONSTRATORS BECAME RIOTOUS AND FOUGHT WITH PARTYGOERS, PUNCHING AND SHOVING, DESPITE BEING ASKED TO LEAVE. ONE INDIVIDUAL PRESENT WAS BADLY INJURED WITH TWO BLACK EYES. THERE WERE NO FATALITIES.",CROWD SIZE=20-30
RIOTS,VIOLENT DEMONSTRATION,12,16,2023-12-16,2023,RIOTERS (UNITED STATES),,PROTESTERS (UNITED STATES),CIVILIANS (UNITED STATES); JOURNALISTS (UNITED STATES); LGBTQ+ (UNITED STATES),NEW YORK - MANHATTAN,NEW YORK,0,US PRESS FREEDOM TRACKER,OTHER,NO,"ON 16 DECEMBER 2023, DEMONSTRATORS RALLIED OUTSIDE A HOLIDAY DRAG STORY TIME IN NEW YORK - MANHATTAN (NEW YORK) TO DEMONSTRATE AGAINST THE EVENT. A FREELANCE JOURNALIST FOLLOWED THE DEMONSTRATORS, AFTER WHICH A DEMONSTRATOR BLOCKED THEM AND USED A BOOK TO STRIKE THEM IN THE FACE, THOUGH THEY SUFFERED NO SERIOUS INJURIES. ANOTHER GROUP OF DEMONSTRATORS COUNTERED THE RALLY IN SUPPORT OF THE LGBTQ+ COMMUNITY. AFTER THE DEMONSTRATION, THE DEMONSTRATOR WHO STRUCK THE JOURNALIST WAS ARRESTED FOR FELONY ASSAULT.",COUNTER-DEMONSTRATION; CROWD SIZE=NO REPORT
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,12,16,2023-12-16,2023,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),AFRICAN AMERICAN GROUP (UNITED STATES); PROTESTANT CHRISTIAN GROUP (UNITED STATES),HANOVER,MARYLAND,0,FOX45 (BALTIMORE),SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 16 DECEMBER 2023, AN UNKNOWN INDIVIDUAL SET FIRE TO THE SIGN AT A CHURCH CEMETERY IN HANOVER (MARYLAND). THE SAINTS REST CEMETERY OPERATED BY SAINT MARK UNITED METHODIST CHURCH PREDOMINANTLY SERVES THE AFRICAN AMERICAN COMMUNITY, LEADING TO THE INCIDENT BEING INVESTIGATED AS A HATE CRIME.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,12,16,2023-12-16,2023,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),ISRAELI GROUP (UNITED STATES); JEWISH GROUP (UNITED STATES),FRAMINGHAM,MASSACHUSETTS,0,WHDH CHANNEL 7,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: AROUND 16 DECEMBER 2023 (WEEKEND OF), A PERSON KNOCKED OVER THE MENORAH, DAMAGED TWO LIGHT BULBS, AND STOLE A SIGN SUPPORTING ISRAEL FROM THE CENTRE COMMON NEAR EDGELL ROAD IN FRAMINGHAM (MASSACHUSETTS). THE EVENT TOOK PLACE AMID THE ISRAEL-HAMAS WAR WHICH BEGAN IN OCTOBER 2023.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,12,13,2023-12-13,2023,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),JEWISH GROUP (UNITED STATES),OAKLAND,CALIFORNIA,0,LEFT COAST RIGHT WATCH; OAKLANDSIDE,SUBNATIONAL-NATIONAL,NO,"PROPERTY DESTRUCTION: ON 13 DECEMBER 2023, A MENORAH WAS VANDALIZED AND THROWN INTO LAKE MERRITT IN OAKLAND (CALIFORNIA). POLICE ARE INVESTIGATING THE INCIDENT AS A HATE CRIME. THIS EVENT TOOK PLACE AMID THE ISRAEL-HAMAS WAR WHICH BEGAN IN OCTOBER 2023.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,12,11,2023-12-11,2023,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),,STATE COLLEGE,PENNSYLVANIA,0,CENTRE DAILY TIMES,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 11 DECEMBER 2023, AN UNKNOWN INDIVIDUAL SMASHED A GLASS FRONT DOOR, DAMAGED A WINDOW, AND SPRAY-PAINTED 'FREE PALESTINE' ON A STARBUCKS IN STATE COLLEGE (PENNSYLVANIA). THIS EVENT TOOK PLACE AMID THE ISRAEL-HAMAS WAR WHICH BEGAN IN OCTOBER 2023.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,12,10,2023-12-10,2023,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),JEWISH GROUP (UNITED STATES),CLERMONT,FLORIDA,0,NEWS 6 (ORLANDO),SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 10 DECEMBER 2023, AN UNKNOWN INDIVIDUAL USED A GOLF CLUB TO SHATTER A SIGN, TIPPED OVER A STAR OF DAVID ON THE GROUND, AND DAMAGED A MENORAH AT THE JEWISH SCHOOL SIMCHAT TORAH BEIT MIDRASH IN CLERMONT (FLORIDA).",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,12,7,2023-12-07,2023,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),JEWISH GROUP (UNITED STATES),OLNEY,MARYLAND,0,FOX5 (WASHINGTON D.C.),NATIONAL,NO,"PROPERTY DESTRUCTION: ON 7 DECEMBER 2023, A MENORAH OUTSIDE OF A SYNAGOGUE IN OLNEY (MARYLAND) WAS TIPPED OVER AND DAMAGED. THE VANDALISM OCCURRED ON THE EVE OF HANUKKAH.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,12,7,2023-12-07,2023,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),ASIAN AMERICAN GROUP (UNITED STATES),SALT LAKE CITY,UTAH,0,KSL5; KUTV CHANNEL 2,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 7 DECEMBER 2023, AN UNKNOWN ASSAILANT SMASHED THE FRONT GLASS DOOR AND BROKE INTO THE WATERCREEK NAILS AND SPA IN SALT LAKE CITY (UTAH) AND SPRAYED PAINTED 'FUCK CHINA' IN THE STORE (THOUGH THE STORE'S OWNERS ARE VIETNAMESE). THE NAIL SALON HAS INCURRED A REPORTED $15,000 IN DAMAGES AND THE POLICE ARE INVESTIGATING THIS INCIDENT AS A HATE CRIME.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,12,6,2023-12-06,2023,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),JEWISH GROUP (UNITED STATES),NEW YORK - MANHATTAN,NEW YORK,0,NEWS12 (BRONX); PIX11,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 6 DECEMBER 2023, AN UNKNOWN INDIVIDUAL BROKE THE MENORAH INSIDE A PLAYGROUND NEAR SIXTH AVENUE AND 44TH STREET AND THREW IT 400 YARDS AWAY IN NEW YORK - MANHATTAN (NEW YORK). THIS EVENT TOOK PLACE IN THE WAKE OF RENEWED FIGHTING BETWEEN ISRAEL AND HAMAS.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,12,5,2023-12-05,2023,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),JEWISH GROUP (UNITED STATES),NEW YORK - MANHATTAN,NEW YORK,0,NEWS12 (BRONX); PIX11,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 5 DECEMBER 2023, A MAN BIKED UP TO THE FIFTH AVENUE MENORAH AND KNOCKED IT TO THE GROUND IN NEW YORK - MANHATTAN (NEW YORK). THIS EVENT TOOK PLACE IN THE WAKE OF RENEWED FIGHTING BETWEEN ISRAEL AND HAMAS.",
VIOLENCE AGAINST CIVILIANS,ATTACK,12,1,2023-12-01,2023,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),,LAS VEGAS,NEVADA,1,ABC NEWS; CBS NEWS; NBC NEWS,NATIONAL,YES,"ON 1 DECEMBER 2023, AN ARMED MAN SHOT 5 PEOPLE, INJURED 4, AND KILLED ONE PERSON AT A HOMELESS ENCAMPMENT NEAR HIGHWAY 96 IN LAS VEGAS (NEVADA). THREE PEOPLE, INCLUDING A MINOR, WERE INJURED, ONE PERSON WAS SEVERELY INJURED, AND ONE PERSON WAS KILLED. THE POLICE BELIEVE THAT THIS WAS A TARGETED SHOOTING TOWARDS UNHOUSED INDIVIDUALS. 1 FATALITY.",
RIOTS,VIOLENT DEMONSTRATION,11,29,2023-11-29,2023,RIOTERS (UNITED STATES),PALESTINIAN GROUP (UNITED STATES); WITHIN OUR LIFETIME,POLICE FORCES OF THE UNITED STATES (2021-2025),,NEW YORK - MANHATTAN,NEW YORK,0,CBS NEWS; PIX11; POST MILLENNIAL; PROTEST_NYC,SUBNATIONAL-NATIONAL,YES,"ON 29 NOVEMBER 2023, MORE THAN 1000 PRO-PALESTINIAN DEMONSTRATORS AND MEMBERS OF WITHIN OUR LIFETIME DISRUPTED THE CHRISTMAS TREE LIGHTING AT ROCKEFELLER CENTER IN NEW YORK - MANHATTAN (NEW YORK) TO CALL FOR A CEASEFIRE, AN END TO BOMBING AND WHAT THEY CALLED A 'SIEGE' AND 'GENOCIDE' IN GAZA IN THE WAKE OF RENEWED FIGHTING BETWEEN ISRAEL AND HAMAS. RIOTERS BROKE THROUGH POLICE BARRICADES AND FOUGHT WITH THE POLICE WITH THEIR FISTS AT 47TH STREET, AND THE NYPD ARRESTED 7 PEOPLE. ONE PERSON WAS CHARGED WITH CRIMINAL MISCHIEF AND 5 PEOPLE WERE CHARGED WITH OBSTRUCTING GOVERNMENT ADMINISTRATION. ONE PERSON ATTENDED WITH A POSTER DESCRIBING ISRAELI ARMED FORCES WITH A SWASTIKA, BUT THE DEMONSTRATORS PUSHED HIM OUT OF THE RALLY.",CROWD SIZE=MORE THAN 1000
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,11,25,2023-11-25,2023,SOLE PERPETRATOR (UNITED STATES),CHRISTIAN GROUP (UNITED STATES),CIVILIANS (UNITED STATES),AFRICAN AMERICAN GROUP (UNITED STATES),CONWAY,SOUTH CAROLINA,0,LIVE 5 (CHARLESTON); USA TODAY,SUBNATIONAL-NATIONAL,YES,"PROPERTY DESTRUCTION: AROUND 25 NOVEMBER 2023 (WEEKEND OF), THE NEIGHBORS OF AN AFRICAN AMERICAN COUPLE SET FIRE TO A CROSS NEAR THE FENCE OF THE AFRICAN AMERICAN COUPLE'S HOME WHILE THEY WERE INSIDE IN CONWAY (SOUTH CAROLINA). THE COUPLE ALSO SAY THAT THEIR NEIGHBOR HAS USED RACIAL SLURS AND THE PERPETRATORS YELLED RACIAL SLURS AT THE VICTIMS WHILE THEY WERE ARRESTED. POLICE ARRESTED THE NEIGHBORS FOR HARASSMENT.",
RIOTS,VIOLENT DEMONSTRATION,11,23,2023-11-23,2023,RIOTERS (UNITED STATES),,CIVILIANS (UNITED STATES),,LOS ANGELES - WESTSIDE,CALIFORNIA,0,KTLA5; PEOPLE'S CITY COUNCIL-LOS ANGELES,SUBNATIONAL,NO,"ON 23 NOVEMBER 2023, AROUND A DOZEN PRO-PALESTINIAN DEMONSTRATORS RALLIED OUTSIDE THE PRESIDENT OF AIPAC'S HOUSE IN BRENTWOOD IN LOS ANGELES - WESTSIDE (CALIFORNIA) TO DEMAND A 'FREE PALESTINE' AND TO DENOUNCE AIPAC'S 'CONTROL' OF 'PRO-GENOCIDE' CONGRESSMEMBERS IN THE WAKE OF RENEWED FIGHTING BETWEEN ISRAEL AND HAMAS. THE DEMONSTRATORS SET OFF SMOKE BOMBS AND SPLASHED RED PAINT ON THE DRIVEWAY. WHEN A NEIGHBOR CONFRONTED THE DEMONSTRATORS, PARTIALLY-CENSORED VIDEO APPEARED TO SHOW HIM TRYING TO KNOCK A FLAG OUT OF A DEMONSTRATOR'S HAND. HE CLAIMS THAT A DEMONSTRATOR THEN STRUCK HIM ON THE BACK OF THE HEAD.",CROWD SIZE=AROUND A DOZEN
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,11,23,2023-11-23,2023,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),LGBTQ+ (UNITED STATES),WAKE FOREST,NORTH CAROLINA,0,NEWS & OBSERVER,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: AROUND 23 NOVEMBER 2023 (WEEKEND OF), A LITTLE FREE LIBRARY SUPPORTING THE LGBTQ+ COMMUNITY WAS CUT DOWN IN WAKE FOREST (NORTH CAROLINA). THE BUSINESS, OWNED BY LGBTQ+ INDIVIDUALS THAT BUILT THE LIBRARY, HAD RECEIVED ONLINE HATE FOR THEIR SUPPORT OF THE LGBTQ+ COMMUNITY BEFORE THE STRUCTURE WAS VANDALIZED.",
RIOTS,VIOLENT DEMONSTRATION,11,20,2023-11-20,2023,RIOTERS (UNITED STATES),STUDENTS (UNITED STATES),,,NEW YORK - QUEENS,NEW YORK,0,ABC7 (NEW YORK); NBC4 NEW YORK; NEW YORK POST,SUBNATIONAL,YES,"ON 20 NOVEMBER 2023, APPROXIMATELY 400 STUDENTS HELD A PRO-PALESTINIAN WALKOUT AND RIOTED AT HILLCREST HIGH SCHOOL IN JAMAICA IN NEW YORK - QUEENS (NEW YORK) TO SUPPORT PALESTINE AND TO DEMONSTRATE AGAINST THEIR TEACHER'S FACEBOOK PICTURE IN SUPPORT OF ISRAEL IN THE WAKE OF RENEWED FIGHTING BETWEEN ISRAEL AND HAMAS. STUDENTS DESTROYED A WATER FOUNTAIN IN THE HALLWAY AND SHATTERED TILES OF A MALE BATHROOM ON THE SECOND FLOOR.",CROWD SIZE=APPROXIMATELY 400
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,11,20,2023-11-20,2023,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),LABOR GROUP (UNITED STATES),RALEIGH,NORTH CAROLINA,0,NEWS & OBSERVER,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 20 NOVEMBER 2023, 6 TRUCKS AT THOMAS CEMENT PLANT IN RALEIGH (NORTH CAROLINA) WERE DAMAGED AND 16 TRUCKS WERE BURNED. ROCKS WERE ALSO THROWN THROUGH WINDOWS AT THE BUILDING. PERPETRATORS SPRAY PAINTED 'STOP COP CITY' ON THE WALLS, REFERENCING A PROPOSED POLICE TRAINING CENTER IN ATLANTA FOREST THAT HAS BEEN DUBBED 'COP CITY ' BY DEMONSTRATORS WHICH PROTESTERS OPPOSED DUE TO ENVIRONMENTAL CONCERNS.",
RIOTS,VIOLENT DEMONSTRATION,11,20,2023-11-20,2023,RIOTERS (UNITED STATES),,POLICE FORCES OF THE UNITED STATES (2021-2025),,MERRIMACK,NEW HAMPSHIRE,0,BOSTON GLOBE; NEW HAMPSHIRE PUBLIC RADIO,SUBNATIONAL-NATIONAL,NO,"ON 20 NOVEMBER 2023, PRO-PALESTINIAN DEMONSTRATORS AND MEMBERS OF PALESTINE ACTION US RALLIED AT THE ELBIT SYSTEMS BUILDING IN MERRIMACK (NEW HAMPSHIRE) WHERE THEY SPRAY PAINTED, DAMAGED THE BUILDING AND BROKE WINDOWS TO OPPOSE THE COMPANY, AN ISRAELI DEFENSE COMPANY, AS WELL AS TO OPPOSE WHAT THEY CLAIM IS 'GENOCIDE' IN GAZA. THE RALLY TOOK PLACE IN THE WAKE OF RENEWED FIGHTING BETWEEN ISRAEL AND HAMAS. POLICE FOUND 3 PEOPLE ON THE ROOF OF THE BUILDING AND ARRESTED THEM. POLICE ALSO REPORTED FINDING AN 'INCENDIARY DEVICE' ON THE ROOF.",CROWD SIZE=NO REPORT
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,11,19,2023-11-19,2023,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),JEWISH GROUP (UNITED STATES),RANCHO MIRAGE,CALIFORNIA,0,NEWSCHANNEL 3,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 19 NOVEMBER 2023, A MAN TOPPLED AND DAMAGED A SCULPTURE OF A HOLOCAUST SURVIVOR AT THE TOLERANCE EDUCATION CENTER IN RANCHO MIRAGE (CALIFORNIA) BY TYING A ROPE TO THE SCULPTURE AND THEN PULLING IT OVER WITH A VAN. THE MAN WAS LATER ARRESTED.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,11,19,2023-11-19,2023,SOLE PERPETRATOR (UNITED STATES),,GOVERNMENT OF THE UNITED STATES (2021-2025),,MARION,VIRGINIA,0,SWVA TODAY,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 19 NOVEMBER 2023, A MAN USED A ROCK TO BREAK THE WINDOW OF A POST OFFICE IN MARION (VIRGINIA) FOR WHAT HE DESCRIBED AS 'POLITICAL REASONS.' IT IS UNCLEAR WHAT SPECIFIC 'POLITICAL REASONS' MOTIVATED THE PROPERTY DESTRUCTION. THE MAN WAS LATER ARRESTED.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,11,17,2023-11-17,2023,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),JEWISH GROUP (UNITED STATES),NEW YORK - MANHATTAN,NEW YORK,0,FOX5 (NEW YORK),SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 17 NOVEMBER 2023, AN UNKNOWN INDIVIDUAL SPRAY-PAINTED 'FREE GAZA' ON THE WINDOW OF THE JEWISH-OWNED BREADS BAKERY NEAR SIXTH AVENUE AND SMASHED A WINDOW OF A NEXT-DOOR BANK IN NEW YORK - MANHATTAN (NEW YORK).",
RIOTS,VIOLENT DEMONSTRATION,11,16,2023-11-16,2023,RIOTERS (UNITED STATES),CHINESE GROUP (UNITED STATES); ASIAN AMERICAN GROUP (UNITED STATES); PROTESTERS (CHINA),PROTESTERS (UNITED STATES),CHINESE GROUP (UNITED STATES); ASIAN AMERICAN GROUP (UNITED STATES); PROTESTERS (CHINA),SAN FRANCISCO,CALIFORNIA,0,SAN FRANCISCO CHRONICLE,SUBNATIONAL,NO,"ON 16 NOVEMBER 2023, CHINESE DEMONSTRATORS, INCLUDING CHINESE NATIONALS, RALLIED OUTSIDE THE MOSCONE CENTER IN SAN FRANCISCO (CALIFORNIA) TO SHOW SUPPORT FOR CHINESE PRESIDENT XI JINPING AS HE ATTENDED THE ASIA-PACIFIC ECONOMIC COOPERATION (APEC) LEADERS' CONFERENCE. THEY WERE MET BY CHINESE COUNTER-DEMONSTRATORS, INCLUDING CHINESE NATIONALS, INCLUDING THE NATIONAL COMMITTEE OF THE DEMOCRATIC PARTY OF CHINA, WHO DENOUNCED THE CHINESE GOVERNMENT FOR THE TIANANMEN SQUARE MASSACRE OF 1989. PRO-XI RIOTERS TRIED TO PULL DOWN BANNERS AND ATTACKED THE ANTI-XI COUNTER-DEMONSTRATORS THREE TIMES, RESULTING IN SEVERAL INJURIES, BEFORE LOCAL POLICE ERECTED A BARRICADE BETWEEN THE TWO SIDES.",COUNTER-DEMONSTRATION; CROWD SIZE=NO REPORT
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,11,15,2023-11-15,2023,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),JEWISH GROUP (UNITED STATES); ISRAELI GROUP (UNITED STATES),WASHINGTON DC - NORTHWEST,DISTRICT OF COLUMBIA,0,FOX5 (WASHINGTON D.C.),SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 15 NOVEMBER 2023, AN UNIDENTIFIED PERSON THREW A ROCK AND SHATTERED THE GLASS OF A PRO-ISRAEL BILLBOARD TRUCK SPONSORED BY JEWBELONG ON GEORGE WASHINGTON UNIVERSITY'S CAMPUS IN WASHINGTON DC - NORTHWEST (DISTRICT OF COLUMBIA). THIS TOOK PLACE IN THE WAKE OF RENEWED FIGHTING BETWEEN ISRAEL AND HAMAS.",
STRATEGIC DEVELOPMENTS,LOOTING/PROPERTY DESTRUCTION,11,15,2023-11-15,2023,SOLE PERPETRATOR (UNITED STATES),,CIVILIANS (UNITED STATES),JEWISH GROUP (UNITED STATES),WEST HEMPSTEAD,NEW YORK,0,NBC4 NEW YORK,SUBNATIONAL,NO,"PROPERTY DESTRUCTION: ON 15 NOVEMBER 2023, AN UNKNOWN INDIVIDUAL SWUNG AN OBJECT AND DAMAGED A MENORAH IN THE FRONT LAWN OF A HOUSE IN WEST HEMPSTEAD (NEW YORK).",
RIOTS,VIOLENT DEMONSTRATION,11,15,2023-11-15,2023,RIOTERS (UNITED STATES),DSA: DEMOCRATIC SOCIALISTS OF AMERICA; IFNOTNOW; ISRAELI GROUP (UNITED STATES); JEWISH GROUP (UNITED STATES); JVP: JEWISH VOICE FOR PEACE,POLICE FORCES OF THE UNITED STATES (2021-2025) CAPITOL POLICE,,WASHINGTON DC - SOUTHEAST,DISTRICT OF COLUMBIA,0,ABC NEWS; ABC7 (WASHINGTON D.C.); ALGEMEINER JOURNAL; DEMOCRACY NOW!; FORBES; FOX43; IF NOT NOW MOVEMENT; LEFT COAST RIGHT WATCH; LIVEUAMAP; NBC NEWS; TWITTER; WASHINGTON POST; WAVY TV10; WDBJ7; WUSA9,LOCAL PARTNER-NEW MEDIA,YES,"ON 15 NOVEMBER 2023, APPROXIMATELY 150 DEMONSTRATORS, INCLUDING MEMBERS OF IF NOT NOW, JEWISH VOICE FOR PEACE, DEMOCRATIC SOCIALISTS OF AMERICA, RABBIS, AND ISRAELI-AMERICANS, DEMONSTRATED OUTSIDE OF THE DEMOCRATIC NATIONAL COMMITTEE IN WASHINGTON DC - SOUTHEAST (DISTRICT OF COLUMBIA) TO DEMAND THAT DEMOCRATS SUPPORT A CEASEFIRE BETWEEN ISRAEL AND HAMAS. CAPITOL POLICE CAME TO DISPERSE THE DEMONSTRATION, WHICH THEY CLAIMED WAS ILLEGAL AND VIOLENT. DEMONSTRATORS BLOCKED THE DOORS OF THE HEADQUARTERS WHILE A FUNDRAISER WAS TAKING PLACE INSIDE. POLICE PULLED DEMONSTRATORS ROUGHLY AWAY FROM THE DOORS OF THE HEADQUARTERS, BUT DEMONSTRATORS LOCKED ARMS AND RESISTED. AT LEAST ONE DEMONSTRATOR WAS PULLED BY POLICE AND FELL DOWN A SMALL FLIGHT OF STAIRS. POLICE ROUGHLY PUSHED DOZENS OF DEMONSTRATORS TO MOVE THEM AWAY FROM THE DOORS. THEY ALSO DEPLOYED PEPPER SPRAY ON DEMONSTRATORS, WHO CLAIMED THAT OVER 90 INJURIES TOOK PLACE AS A RESULT. POLICE CLAIMED THAT SIX OFFICERS SUSTAINED INJURIES AFTER BEING PEPPER SPRAYED AND PUNCHED, AND THAT SOME DEMONSTRATORS THREW OBJECTS, INCLUDING A BIKE RACK, AT THE POLICE. POLICE ARRESTED ONE DEMONSTRATOR FOR ASSAULTING AN OFFICER. DEMONSTRATORS SAID THAT THEY HAD REMAINED PEACEFUL AND THAT POLICE HAD NOT WARNED THEM BEFORE USING VIOLENCE. VIDEOS OF THE DEMONSTRATION DID NOT APPEAR TO SHOW ANY DEMONSTRATORS ATTACKING POLICE. THE DEMONSTRATION TOOK PLACE IN THE WAKE OF RENEWED FIGHTING BETWEEN ISRAEL AND HAMAS.",CROWD SIZE=APPROXIMATELY 150
